startdate,enddate,status,progress,durationinseconds,finished,recordeddate,responseid,externalreference,distributionchannel,userlanguage,prolific_pid,jobsatisfacton_job,writingtasks_job,usedgpt_job,whatused_for_job,usefulness_job,chatgpt_wtp_job,usedgpt_whynot_job,usedgpt_whynot_job_4_text,why_notuseful
2023-02-12 12:19:45,2023-02-12 12:20:48,0,100,63,1,2023-02-12 12:20:48,R_oZgFp93KG6yNdwR,*******,anonymous,EN,256a93c634a183da7748803c60463ddd3459368a860021c516a0171d964388c4,10,I have a job of writing grants for funding. I also write reviews for employees.,2,,,,2,,
2023-02-20 13:37:07,2023-02-20 13:41:17,0,100,250,1,2023-02-20 13:41:18,R_PN9v0cjhYGQu5bP,*******,anonymous,EN,d50904b82852c1ddfdfe2880e2fa86461839136ce60b0689e9beb1d517ae862b,8,I give feedback and write reports,1,I use it to learn more about AI and to test the programming content and skill,3,50,,,
2023-02-17 17:23:05,2023-02-17 17:24:10,0,100,64,1,2023-02-17 17:24:11,R_33a1vZoJV5JYinw,*******,anonymous,EN,f52e18e2898ce9a2b889f1a25725d86ea68d931d27a050cf469c68e35ed678fc,2,"pitch letters, sales materials and memos",2,,,,4,i like to write,
2023-02-10 19:48:07,2023-02-10 19:49:04,0,100,57,1,2023-02-10 19:49:04,R_2chnB9ZlOxBVc3j,*******,anonymous,EN,9541982de5e3334360b830328915aa012626978a8b019689acbb24d81220376e,8,I write many emails as well as sales contracts.,2,,,,4,I'm not comfortable using it.,
2023-02-11 10:23:54,2023-02-11 10:27:00,0,100,185,1,2023-02-11 10:27:00,R_qHZwfjTnPDtluqR,*******,anonymous,EN,a03e0c86dae2d3610170a8672335f644c67a191601d133fca72f3b9683d8c9df,7,I write standard operating procedures and repair procedures the most often in my job.,2,,,,1,,I doubt ChatGPT would have the specific information that is needed to complete the type of writing tasks that I do.
2023-02-11 10:21:31,2023-02-11 10:23:53,0,100,141,1,2023-02-11 10:23:54,R_3HuaMv2yZSLc75r,*******,anonymous,EN,116eb3c6f4eac9ba134c67127f953f3e405dbe4ad2ae58fb5528d266daab666f,10,"I have to send many business emails. I also write a lot of proposals. The most time consuming writing tasks I do involve preparing presentations. I make presentation decks for meeting, presentations and particularly business reviews with clients.",2,,,,1,,"Everything is very specifically tailored to my customers and needs to involve real time information and circumstances that I have gathered through my work, and these are things ChatGPT can't be familiar with."
2023-02-23 15:39:37,2023-02-23 15:40:19,0,100,41,1,2023-02-23 15:40:19,R_2xyi3LGMIFkYlM7,*******,anonymous,EN,30d9b79c571ffbfae4a529b55c2a6311f677c1649299b0363db54a154d8c3efd,8,I write site assessment reports that sre approximately 20-30 pages long.,2,,,,3,,
2023-02-17 11:26:55,2023-02-17 11:27:50,0,100,54,1,2023-02-17 11:27:51,R_AFElNEFZkXwny6t,*******,anonymous,EN,98b218d6cefa8ea71a1b7e7f9ce16a59fb6e8a8602132161be4a1190ad311fea,6,"I send emails frequently, I write scripts and fill out presentations.",1,I have used Chat GPT to prompt ideas,3,5,,,
2023-02-23 15:48:06,2023-02-23 15:48:56,0,100,49,1,2023-02-23 15:48:56,R_4YLryRKLrRfJjFv,*******,anonymous,EN,50117b6fedb39d84b4c08b6892e12914aab93d7763299dafb34f29bf5cc8a236,4,I document everything I do,2,,,,1,,I have to do it myself
2023-02-11 17:39:14,2023-02-11 17:40:37,0,100,82,1,2023-02-11 17:40:37,R_6Rl28cPEoogupJD,*******,anonymous,EN,ddb91d8138817cf67afc62ec824b6a462df665b2e03b6cae5cc3a7912568cc31,10,sales pitches and agendas,2,,,,1,,we have numerical data and stats.
2023-02-23 15:42:42,2023-02-23 15:44:23,0,100,100,1,2023-02-23 15:44:23,R_cGuZHZ6tr8Hla0h,*******,anonymous,EN,560d5f98c8a4571ce24686d69406aecb9516604122cad301be9fe68288d0be9b,4,I create documentation about workplace protocol and training for employees to follow,2,,,,1,,They are highly specific to my company and the Ai software would not know the necessary information
2023-02-11 11:22:33,2023-02-11 11:23:29,0,100,55,1,2023-02-11 11:23:29,R_DUWTe1lVURPNX8t,*******,anonymous,EN,33dc2c61d05f7095afdbe56c3b9b2d702748814931e18ad6c623197280b29ece,8,I write reports to go along with the data reports we submit to clients,2,,,,1,,Because I would have to input all the data I have in order for it to be able to pull conclusions
2023-02-10 13:01:32,2023-02-10 13:02:01,0,100,28,1,2023-02-10 13:02:01,R_2vceoDxrurNuWUk,*******,anonymous,EN,de41fd07c23b5903ea12c3bf1a006431e4e10382ffc19f204a1c7cfaf2003936,7,I write reports about projects.,2,,,,1,,
2023-02-15 15:34:25,2023-02-15 15:35:22,0,100,56,1,2023-02-15 15:35:22,R_3lGg3OZjbLWFnfq,*******,anonymous,EN,681e72c6d6311369f801e285ef13929b44f5b79f2b834caa3359446c360cc04f,8,"Aside from analyzing data, there isn't much writing.",1,I compile my data through ChatGPT. I am usually assigned a set of data and ChatGPT helps me organize it.,4,5,,,
2023-02-23 15:46:22,2023-02-23 15:46:50,0,100,27,1,2023-02-23 15:46:51,R_3jYYZLYn2hsJHkR,*******,anonymous,EN,0f49d4577462fa9c23de5761aea6c1c8213734e460f7c8fbd04fde50ab688e3b,8,Sometimes I have to write training manuals or technical details. ,2,,,,3,,
2023-03-19 08:17:44,2023-03-19 08:20:48,0,100,183,1,2023-03-19 08:20:49,R_2tFfCp32TnVcJab,*******,anonymous,EN,15abf08cc1413d93298f49e83f26d897457883b38166e6da33622a53ca9fecc7,8,I perform writing tasks that involve written communication to parents of students through e-mail or electronic learning platforms like Canvas. I also have to report how students are progressing every quarter when I fill out their progress reports. I also write up notes that the students need to copy. I write the tests that students take. ,2,,,,4,I don't feel like it is personal to use ChatGPT. I want to write my own words.,
2023-02-15 14:49:39,2023-02-15 14:51:26,0,100,106,1,2023-02-15 14:51:26,R_2urkHP9XNdymuAg,*******,anonymous,EN,70f2489a39f51d24247f75db318ee111d91a2f305e2a1fa008d1ac325bea2c69,7,I write information about the clients and reasons for their loan approval.,2,,,,1,,I don't write that much.
2023-02-11 19:49:13,2023-02-11 19:50:17,0,100,64,1,2023-02-11 19:50:17,R_2chgFMa4o8iY6S9,*******,anonymous,EN,d31dbf37b2ff6e194ff1d4d5761403bc2804eb72a9cc343a9d9f013642019aa6,7,"I usually write emails explaining people's job duties or schedules. A lot of writing is updating different groups on task progress. I would say my writing is all pretty formal, especially when I need to write procedural documents.",2,,,,5,,
2023-02-15 14:14:38,2023-02-15 14:15:56,0,100,77,1,2023-02-15 14:15:57,R_cXSnTnNLSrX8k4F,*******,anonymous,EN,8d808789ac46b63d17f7ba7e0d02e3995a5d5884f66747f3a99febbc5fe821de,7,I usually have to reply to emails with explanations of analytical/data science outputs and insights,1,I used Chat GPT to understand if a python package has a capability to do a function I had in mind.,3,10,,,
2023-02-23 15:31:20,2023-02-23 15:31:58,0,100,38,1,2023-02-23 15:31:59,R_7NwzjatwzwsRVUR,*******,anonymous,EN,e5d99c65519cb12311717c8b2ce24f0e1357700deccf67a64bf6b20af8e01f4e,7,I compose emails.,2,,,,1,,It would take too much time to edit to where I wouldn't save any time.
2023-02-11 14:34:51,2023-02-11 14:35:35,0,100,43,1,2023-02-11 14:35:35,R_24vCtVUjf142cfG,*******,anonymous,EN,ab9d1f48de91b08824b55a3b070b9a4347c4d4e27c750649cc089657fdf1ab31,9,"Sending emails, making schedules. ",2,,,,3,,
2023-02-16 19:47:57,2023-02-16 19:49:16,0,100,79,1,2023-02-16 19:49:16,R_22kQwS0qy9nExWY,*******,anonymous,EN,85837fb9048c10115b3e5c0be1ae1277e04d452641cfac0a46bfbac2b406c4bd,8,"Emails, presentations, memos, formal reports, procedure manuals, process explanations ",1,I used it to draft a email message I was going to send to a larger audience ,3,10,,,
2023-03-11 06:35:00,2023-03-11 06:36:17,0,100,77,1,2023-03-11 06:36:18,R_UryFVMKVPF3aW2t,*******,anonymous,EN,2014edb1e8f1999ccc509a20fd85d150a53d0a62fbe63fd42f170d4d224b797d,8,"Writing emails, writing manuscripts, writing study materials, and writing presentations",2,,,,3,,
2023-02-26 10:46:25,2023-02-26 10:48:12,0,100,106,1,2023-02-26 10:48:12,R_6YHtb8hAz6DaUal,*******,anonymous,EN,178b16ec4a773081942e1db7400a4b9f4adc16cdec4424bb27e2884c813a8302,10,write policy descriptions.  write job descriptions.  write product proposals,2,,,,1,,Because I am more than capable of doing these tasks. 
2023-02-24 11:42:05,2023-02-24 11:42:54,0,100,49,1,2023-02-24 11:42:59,R_1FlgI5cR0EeLSYk,*******,anonymous,EN,2adbc2dfc87163aed1ae4bce4213461c5f11cb49c077e83f54af945a76ba2d92,8,Quality review (weekly) and reports for agents and upper management. Emails in regards to team announcements. Emails for tips and tricks and quality feedback. ,2,,,,3,,
2023-04-05 14:56:21,2023-04-05 14:59:10,0,100,168,1,2023-04-05 14:59:10,R_6sqf1dAdhRVPQrf,*******,anonymous,EN,c9574044dac53f61336c3e6ade8a46ea6c1b4be8b67495b48b2bcd440cf24677,7,"I write summaries for novels and screenplays. I create loglines to show the essence of a story. I write book reviews, as well as give writers feedback and notes on how to improve their work.",2,,,,3,,
2023-02-15 11:56:36,2023-02-15 11:57:38,0,100,62,1,2023-02-15 11:57:39,R_1f6In0fCOPtklcY,*******,anonymous,EN,1a4dbc56e0a5767c5731699ffede2b5861c76c8b4d87b9a6ff713c775449e33c,8,Long-form writing like short stories and novels.,1,I used it to create writing prompts to save as future story ideas.,2,0,,,
2023-02-11 10:50:12,2023-02-11 10:50:56,0,100,44,1,2023-02-11 10:50:56,R_2c0g4GbyP5RLPhM,*******,anonymous,EN,a4fa061f174b79bb842d9493a076faac424e000c0c963b2f2eee75f092d7b35e,10,"Grant writing, reports, data analysis",2,,,,3,,
2023-03-04 15:15:05,2023-03-04 15:16:50,0,100,104,1,2023-03-04 15:16:50,R_2eaR78PZsavfoHk,*******,anonymous,EN,c9438db9d28b6e5bd5e2a7dace27d34c8bab36d0ff0718be7b0da7e0c0b2717c,10,"emails to clients, employees, and supervisors. Tasks for the day to my team and any spreadsheets to clients.",2,,,,2,,
2023-02-11 10:21:45,2023-02-11 10:43:54,0,100,1329,1,2023-02-11 10:43:55,R_UFIyXNdNMbKzLk5,*******,anonymous,EN,3aa341cb3a10f3f0b5b469bb513b4aecd6cc207d6958eda59ae4ccd743d8bd38,4,I write emails and communications between staff members frequently.,1,I ask it questions for things like a search engine.,1,0,,,
2023-02-14 09:43:14,2023-02-14 09:45:03,0,100,108,1,2023-02-14 09:45:04,R_3eheZZTnCXlZZ29,*******,anonymous,EN,189869f03a2064be9d3304dd85f89700b99d41905b7f51a889fbf8967c68ad16,8,"I typically compose progress reports, presentations, employee evaluations.",2,,,,1,,"If I am responsible for communicating an idea, why would I rely on an outside source?"
2023-02-10 12:54:07,2023-02-10 12:56:21,0,100,133,1,2023-02-10 12:56:21,R_3e9VSJGlFDAnoi7,*******,anonymous,EN,325ea4cb6d9496fcbb1a235c4a177a017f5cd80075b283846a954fe1b70b17c5,10,I write memos and reports detailing audits I have completed.  I also send e-mails out.,2,,,,1,,
2023-03-01 22:03:50,2023-03-01 22:04:25,0,100,34,1,2023-03-01 22:04:26,R_2VwNKdjCq5USvyu,*******,anonymous,EN,39a140183975d336b29266bbc386c531f2e5812ce1930852f286184e71ddaa05,8,I would write website copy and things for emails.,2,,,,3,,
2023-02-18 10:09:40,2023-02-18 10:10:26,0,100,45,1,2023-02-18 10:10:27,R_3Gv5QOPBZIKBrMm,*******,anonymous,EN,4b6901a1f60fffa18985018badfafe28d9f251a851bc30ac95ffad98aa6afecc,9,"Correspondence, promotional flyers for events, emails",2,,,,3,,
2023-02-15 15:35:52,2023-02-15 15:36:51,0,100,59,1,2023-02-15 15:36:51,R_cZnZwqKXYDsSF8Z,*******,anonymous,EN,08f76d2a25b7aaf8e295c211d461f485addeb73b4bc1e016e30477ddc966363e,4,I am given a prompt about a subject and then I write about it until I hit the word count.,2,,,,2,,
2023-03-01 20:42:13,2023-03-01 20:44:35,0,100,141,1,2023-03-01 20:44:35,R_2fxhdUprf8CR6bm,*******,anonymous,EN,4b0a16b0dac16dc6bfb6e997e2c7ad3510d1e224c6cfce752c6ac483c3ea2076,7,"most of my writing is data based. Usually invoices, or balance sheets",2,,,,1,,"Since most of what i do is based on specific data, i would have to enter all that data into chatgpt which would take just as much time as doing it on its own "
2023-02-11 10:47:58,2023-02-11 10:48:54,0,100,56,1,2023-02-11 10:48:55,R_BQIgwPBj1kn1BKx,*******,anonymous,EN,f31b65c9ef3677b6ccc9f223f21ef4c2c31a0488a96982f72b5fa34bbc2edf1e,5,"E-mailing clients, e-mailing/messaging co-workers, marketing materials, product descriptions",2,,,,3,,
2023-02-18 13:10:13,2023-02-18 13:11:18,0,100,64,1,2023-02-18 13:11:18,R_2SIGf6gUafXimXb,*******,anonymous,EN,5b0f8245a01da50ea9afa12233127dc2a5c04dc37d57451f1df1995ccc853638,6,"Business emails, memos, whitepapers, financial reporting for SEC and investors.",2,,,,1,,There is too much on the line if I make a small error- it will reflect poorly on me.
2023-02-26 15:59:08,2023-02-26 15:59:53,0,100,45,1,2023-02-26 15:59:53,R_2diGYAgLDSyjE3Q,*******,anonymous,EN,ada957512a68c746f2accd1b2512573fbb0d289a58f208f39b479dab43f11258,5,I write emails and internal memos,2,,,,1,,The tasks are based on intimit internal knowledge of the workplace 
2023-02-18 06:50:00,2023-02-18 06:54:59,0,100,299,1,2023-02-18 06:55:00,R_OkYlap3cuBakANP,*******,anonymous,EN,c0a70a96868e00cfeea2f4b307810ca4c0c7363fd6a42fcb5b8e9e535e9779c4,8,I review/edit other writer's blog articles and the writing I do now is feedback on writer's copy and communications with my manager.,2,,,,1,,I come to the table with years of experience -- nothing that AI can match 
2023-02-23 15:32:19,2023-02-23 15:33:11,0,100,51,1,2023-02-23 15:33:11,R_2OPDS2Aru2NRYTj,*******,anonymous,EN,c9593fcd9ced085e571117dc41bdb451e38b3e4561aed97b76e26f17c3469702,7,"oversee work of staff; implement programs, develop budgets, office work.",2,,,,3,,
2023-02-26 09:33:27,2023-02-26 09:36:36,0,100,188,1,2023-02-26 09:36:36,R_1E0CDZbotIhUv76,*******,anonymous,EN,d5047e8615ea4ba9edfc6ddc3d49e263dc676a79e7016e681f570d9146a05788,8,"The preparation of narrative and graph-based outcome reports.   The preparation of grant proposals. Emails conveying data points, work assignments and progress reports. Presentations to leadership regarding outcomes and future projects.",2,,,,4,I use most of my writing assignements to hone my awareness of what I am writing about as the process spurs creative thinking/solutions as well as analysis.,
2023-03-01 03:46:23,2023-03-01 03:48:29,0,100,125,1,2023-03-01 03:48:29,R_22n2AlBIZLkFDzE,*******,anonymous,EN,44d78f7f57fbe9ade6bc65f18b49db950e556686914b2b8df022f4c3be285803,8,I regularly write emails to colleagues and vendors. I also write and edit marketing copy.,2,,,,4,"It is something we are exploring, but not using yet.",
2023-02-26 16:49:22,2023-02-26 16:50:52,0,100,89,1,2023-02-26 16:50:52,R_31jhZZHPnroLReI,*******,anonymous,EN,ec810ba4733e8c8170ee18c9f5ff5ed1b90f699187be1d26736ae1b502ddd43c,9,"Project outlines, project updates, unit testing, sprint planning",2,,,,3,,
2023-02-27 19:25:36,2023-02-27 19:28:03,0,100,147,1,2023-02-27 19:28:04,R_xhhUWEPl2MjRkzL,*******,anonymous,EN,3828d7745c26b8db7a4febabdf49704bca26852d70c15ea299111ba730e6c580,10,I maintain student's files. I make sure that they have all of the necessary documents to attend school.,2,,,,1,,I don't do that much writing on my job.
